mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0				𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
1	1	0	0	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	0						
1	1	1	1	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	1						
1	1	2	2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	2						
1	1	5/2	5/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	3						
1	1	0	0	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	4						
1	1	1	1	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	5						
1	1	0	0	1.0		0	0	Chord	3/4	1	3	1/4	1/4	1	6						
1	1	2	2	1.0		1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	7						
1	1	0	0	1.0		0	0	Chord	3/4	1	4	1/4	1/4	1	8						
1	1	1	1	1.0		1/4	1/4	Chord	3/4	1	4	1/4	1/4	1	9						
1	1	2	2	1.0		1/2	1/2	Chord	3/4	1	4	1/4	1/4	1	10						
2	2	3	3	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	11						
2	2	9/2	9/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	12						
2	2	5	5	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	13						
2	2	11/2	11/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	14						
2	2	3	3	1.5		0	0	Chord	3/4	1	2	3/8	1/4	3/2	15						
2	2	3	3	1.5		0	0	Chord	3/4	1	3	3/8	1/4	3/2	16						
3	3	6	6	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	17						
3	3	13/2	13/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	18						
3	3	7	7	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	19						
3	3	15/2	15/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	20						
3	3	8	8	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	21						
3	3	17/2	17/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	22						
3	3	6	6	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	23						
3	3	7	7	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	24						
3	3	8	8	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	25						
4	4	9	9	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	26						
4	4	21/2	21/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	27						
4	4	11	11	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	28						
4	4	23/2	23/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	29						
4	4	9	9	1.5		0	0	Chord	3/4	1	2	3/8	1/4	3/2	30						
5	5	12	12	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	31						
5	5	13	13	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	32						
5	5	14	14	0.25		1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	33						0
5	5	57/4	57/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	34						
5	5	29/2	29/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	35						
5	5	12	12	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	36						
5	5	13	13	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	37						
5	5	12	12	1.0		0	0	Chord	3/4	1	3	1/4	1/4	1	38						
5	5	13	13	1.0		1/4	1/4	Chord	3/4	1	3	1/4	1/4	1	39						
5	5	14	14	1.0		1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	40						
6	6	15	15	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	41						
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	42						
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	43						
6	6	15	15	2.0		0	0	Chord	3/4	1	2	1/2	1/2	1	44						
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	45						
6	6	15	15	2.0		0	0	Chord	3/4	1	3	1/2	1/2	1	46						
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	47						
7	7	18	18	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	48						
7	7	37/2	37/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	49						
7	7	19	19	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	50						
7	7	39/2	39/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	51						
7	7	20	20	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	52						
7	7	41/2	41/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	53						
7	7	18	18	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	54						
7	7	19	19	2.0		1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	55						
7	7	18	18	1.0		0	0	Chord	3/4	1	3	1/4	1/4	1	56						
8	8		21	1.5	1	0	0	Chord	3/4	1	1	3/8	1/4	3/2	57						
8	8		45/2	0.5	1	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	58						
8	8		23	0.5	1	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	59						
8	8		47/2	0.5	1	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	60						
8	8		21	1.5	1	0	0	Chord	3/4	1	2	3/8	1/4	3/2	61						
8	8		21	1.5	1	0	0	Chord	3/4	1	3	3/8	1/4	3/2	62						
9	8	21	24	3.0	2	0	0	Chord	3/4	1	1	3/4	1/2	3/2	63						
9	8	21	24	3.0	2	0	0	Chord	3/4	1	2	3/4	1/2	3/2	64						
9	8	21	24	3.0	2	0	0	Chord	3/4	1	3	3/4	1/2	3/2	65						
10	9	24	27	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	66						
10	9	25	28	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	67						
10	9	26	29	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	68						
10	9	24	27	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	69						
10	9	25	28	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	70						
10	9	26	29	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	71						
10	9	24	27	1.0		0	0	Chord	3/4	1	3	1/4	1/4	1	72						
10	9	25	28	1.0		1/4	1/4	Chord	3/4	1	3	1/4	1/4	1	73						
10	9	26	29	1.0		1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	74						
