mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0						𝅘𝅥=128	128.0	𝅘𝅥	128.0	0.0
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0						
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1						
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	2						
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	3						
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	4						
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	5						
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	6						
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	7						
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	8						
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	9						
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	10						
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	11						
3	3	6	6	0.0	0	0	StaffText	3/4	1	1	0					MENUET I					
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	12						
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	13						
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	14						
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	15						
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	16						
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	17						
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	18						
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	19						
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	20						
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	21						
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	22						
